name,discovery,description,species,distribution
Acanthophippium,Blume 1825,"Ah-kan-tho-FIP-ee-um (click on the name to hear it spoken)
Tribe: Collabieae
Subtribe: [not yet defined]

Acanthophippium is a terrestrial and sometimes saprophytic genus of sympodial orchids first described in 1825 by K. L. Blume. It has often been misspelled as Acanthophippium and the various species have been scientifically described with both spellings. The species have prominent, tapered bulbs that are up to 15 cm long and 5 cm wide and have large plicate leaves. The flowers are very unusual being bottle or cup-shaped somewhat like a tulip, waxy, and have a very strong fragrance. They have a wide range of colors mostly being shades of orange, red and yellow. The name Acanthophippium is a combination of two Greek words, akanthe, meaning spur or thorn, and ephippion, meaning saddle. These refer to the shape and structure of the blade of the lip. The type species is Aca. javanicum. Commonly grown species are Aca. mantinianum; Aca. javanicum; Aca. striatum.",Currently the Kew World Checklist of Selected Plant Families recognizes a total of 13 species (2/2012).,"Tropical old world, ranging from Southern China and S. E. Asia, through Indonesia and the Philippines, all the way to Fiji."
Acineta,Lindley 1843,"ah-si-NEE-ta (click on the name to hear it spoken)
Tribe: Cymbidieae 
Subtribe: Stanhopeinae

An awe-inspiring sight is a well grown plant with numerous pendent inflorescences with 20 or more, usually large 2 inch (5 cm), flowers growing from a hanging basket. John Lindley described this genus, which vegetatively closely resembles Stanhopea in 1843. The genus name is derived from the Greek akinetos (immovable) in reference to the rigid, jointless aspect of the lip. In floral characteristics, Acineta more closely resembles Pescatorea or Peristeria, although the pendent habit of the inflorescence is that of Stanhopea.

The approximately 15 species of this genus are normally epiphytic but occasionally can be found growing as terrestrials on steep embankments at elevations from 2600-6600 ft (800 to 2,000 meters ). Species in cultivation include Acn. superba and Acn. chrysantha.",Currently the Kew World Checklist of Selected Plant Families recognizes a total of 17 species (8/2012).,"From S. Mexico to Venezuela, Ecuador and Peru."
Ada,Lindl 1853,"Ay-da (click on the name to hear it spoken)
Tribe: Cymbidieae
Subtribe: Oncidiinae

Etymology: Named for Ada, sister of Artemisia. First described by John Lindley in 1854. The genus is mostly epiphytes, but occasionally lithophytic, growing in wet cloud forests between 1500 and 2800m. Most species are presumed to be pollinated by hummingbirds.

The genus consisted of Ada aurantiaca and Ada lehmannii until the “glumaceous” (membrane-like) brassias were added by Norris Williams in 1972. Then in 2011, Chase and Whitten moved the glumaceous brassias out of the genus Ada again based on DNA sequence data. Currently, the Kew World Checklist of Selected Plant Families considers Ada to be a synonym of Brassia.",The WCSP now recognizes the 20 or so species to be in the genus Brassia.,"Andean areas of Columbia, Ecuador, and Peru.
 "
Aerangis,Reichenbach f. 1865 ,"air-ANG-giss (click on the name to hear it spoken)
Tribe: Vandeae 
Subtribe: Aerangidinae

My acquaintance with Aerangis began in the Kenya highlands early in the 1960’s. Although I cannot remember the exact date, I can remember the plant that made such a striking impression on me. I came face to face with it growing as a low-level epiphyte in a dense thicket of trees and shrubs near the river at about 8,000 feet above sea level, just north of the Equator. Several inflorescences were in full flower; their pristine white blooms with long curving nectaries, or spurs, presented a most elegant sight. Later I discovered that it was Aergs. thomsonii. Thus my interest in this attractive genus began and still continues today. 

The name Aerangis was coined from two Greek words, aer, air and angos, vessel, and was probably a reference to the nectariferous spur at the base of the lip. Plants allocated to this genus today are among the most attractive of the white-flowered vandaceous orchids of Africa and its adjacent islands, including Madagascar.  

Many species of Aerangis were first described under the name Angraecum. It was in 1865 that H.G. Reichenbach proposed the genus Aerangis, separating it from Angraecum on account of the long slender rostellum that stretches forward from below the column apex, across the stigmatic surface, and by the long slender stipe that is located on the upper surface of this rostellum and supports the two pollinia. 

A major contribution to the recognition of the genus was that of the German botanist Rudolf Schlechter. In 1914 he transferred some of the well-known Madagascar species from Angraecum to Aerangis and in 1918 made an important review of all the African angraecoid orchids that dealt with an additional 11 species of Aerangis. More species have been added to the genus since then. 

Species most commonly found in cultivation include Aergs. articulata, Aergs. biloba, Aergs. citrata, Aergs. ellisii, Aergs. fastuosa, Aergs. luteo-alba and its variety rhodosticta, and Aergs. modesta.","Currently the Kew World Checklist of Selected Plant Families recognizes 51 species, 2 natural hybrids, and 4 varieties (8/2012).","Africa and its adjacent islands, including Madagascar.
 "
Aeranthes,Lindley 1824,"air-ANN-theez (click on the name to hear it spoken)
Tribe: Vandeae 
Subtribe: Angraecinae

When first described by John Lindley in 1824, these delicate flowers must have seemed floating in air, hence the generic name which is derived from the Greek aer (air) and anthos (flower). The translucent yellow, green or white flowers are borne on wiry, up to 3 ft. (90 cm.) long stems and are allied to Angraecum. Of the 30 to 40 species known, most are found in Madagascar and the adjacent islands off the east coast of Africa. Flowers vary in size but can be up to 4 inches (10 cm) wide and 5 inches (12.5 cm) tall and are often slightly fragrant. The flowers are characterized by an insect or spiderlike appearance. Aeranthes has been used in intergeneric hybrids, several being made with Angraecum, and at least one instance of a hybrid with Vanda (Vths. Helmut Paul = V. tessellata x Aerth. grandiflora). Aerth. grandiflora is the species most commonly found in hobbyist collections.",The Kew World Checklist of Selected Plant Families currently recognizes 43 species and 2 varieties (8/2012).,"Madagascar and the islands off the east coast of Africa.
 "
Aerides,Loureiro 1790,"AIR-eh-deez (click on the name to hear it spoken)
Tribe: Vandeae
Subtribe: Aeridinae

Aerides, literally ""child of the air"", is a genus of strong-growing monopodial epiphytes most resembling the genus Vanda. These orchids are popular for their freely produced pendent spikes of closely set, fragrant blooms. Often called ""foxtail orchids,"" this can lead to confusion with Rhyncostylis. Aerides are relatively fast growers and can bear a profusion of spikes from the main plant and its keikis. A few of the species are especially fascinating for their complex lip, which can obscure the column. Commonly seen species are Aerides fieldingii, Aerides lawrenceae, Aerides multiflorum, and Aerides odoratum. Aerides is beginning to be used more and more in hybridizing with related species and hybrids, especially vandas and ascocendas. ","Alex Hawkes cited ""more than 60"" and Phil Cribb of the Royal Botanic Gardens, Kew, ""more than 20."" However, the latest revision, by Eric Christenson, PhD, will be closer to 14 or 15. Currently the Kew World Checklist of Selected Plant Families recognizes a total of 28 species (9/2007). ","Tropical Asia, especially in the Himalayan region, Burma, and the Philippines 
 "
Aganisia,Lindl. 1839,"ag-ah-NEE-si-ah (click on the name to hear it spoken)
Tribe: Cymbidieae
Subtribe: Zygopetalinae

The genus name derives from a Greek nymph, lover of the god Apollo. Specimens collected early on rarely lasted more than two years in cultivation. Seed grown plants have a much longer life expectancy. It was once thought to be monospecific i.e., a single species in this genus; however, four species are now known - Agn. cyanea, Agn. fimbriata, Agn. pulchella and Agn. rosariana. Highly prized for its ""blue"" flowers. Bloom time is early spring through summer. Acacallis is now considered synonymous with an earlier described genus Aganisia, and this older name has priority.",The Kew World Checklist of Selected Plant Families recognizes four species in the genus Aganisia.," Colombia, Venezuela, Brazil, Peru, & the Guianas."
Amesiella ,Schlechter ex Garay 1972,"ames-ee-EL-a (click on the name to hear it spoken)
Tribe: Vandeae
Subtribe: Aeridinae

Dr. Rudolf Schlechter proposed the generic epithet, Amesiella, in 1926 but he died before it could be published. Dr. Leslie Garay found Schlechter’s unpublished name and it was duly published in 1972. The epithet honors Professor Oakes Ames who named many Philippine orchid species in the first half of the 1900’s. Type species for this small genus is Ame. philippinensis. All the blooms are white in colour and Ame. monticola is perfumed, often at night. The flowers are large when compared with the size of the plant. Well-grown plants can produce several inflorescences. Commonly grown species are Ame. monticola and Ame. philippinensis. The third species in the genus is Ame. minor, known only from the type specimen, named in 1999. ","Currently, the Kew World Checklist of Selected Plant Families recognizes 3 species (8/2012). ",The genus Amesiella is endemic to the islands of Luzon and Mindoro in the Philippines. 
Ancistrochilus ,Rolfe 1897,"an-sis-tro-KIE-lus (click on the name to hear it spoken)
Tribe: Collabieae
Subtribe: [not yet defined]

The species of Ancistrochilus most commonly seen in cultivation, Ancistrochilus rothschildianus O’Brien, has an undeserved reputation for being difficult to grow, and in particular to keep alive and in good condition over a period of time. ",Currently the Kew World Checklist of Selected Plant Families recognizes a total of 2 species (8/2012). ,W. Africa across to Uganda and Tanzania.
Angraecum,Bory 1804,"an-GRAY-cum (click on the name to hear it spoken)
Tribe: Vandeae
Subtribe: Angraecinae

Angraecum was established in 1804 by Colonel Bory de St. Vincent although some credit the French botanist Louis-Marie Aubert Du Petit-Thouars with the founding of this genus. Its name is a latinized form of the Malayan word angurek which is used to describe orchids with a growth habit similar to the genus Vanda. Angraecums, approximately two hundred species of white or greenish, generally star-shaped flowers, are typically monopodial in growth habit and are mostly epiphytic. Some Angraecum species are only a few inches high while others can reach over 6 feet. Perhaps most famous is Angcm. sesquipedale. Few orchidists are unaware of Charles Darwin’s prediction of a moth-pollinator with a very long tongue! 

Angraecum is a large genus, and one of the first described of the African orchids. As a result, many species, once placed in Angraecum have now been separated into other genera (eg. Aerangis and Jumellea). Few of the many species of Angraecum are found in cultivation. Most common are species such as Angcm. sesquipedale, Angcm. bicallosum, Angcm. leonis, Angcm. compactum, and Angcm. distichum. ","Currently, the World Checklist of Selected Plant Families recognizes a total of 223 species, 4 subspecies, and 7 varieties (8/2012).","Tropical Africa, Madagascar and adjacent islands."
