name,discovery,description,species,distribution
Cadetia,Gaudich 1829,"ka-DET-ee-ah (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Derivation: To honor Cadet de Gassicourt; French chemist.
The species in this genus are dwarf epiphytes or rarely lithophytes, rare in today's collections. They are allied to Dendrobium and some taxonomists, including Schlechter, considered them as a section of Dendrobium. Their vegetative appearance and characteristics readily distinguish them from dendrobiums and they are somewhat similar to Pleurothallis in many cases. Cadetia are small flowered and are grown simialarly to the tropical species of Bulbophyllum. They are predominately rainforest plants of low to moderate altitudes and grow on trees or rocks. The genus is divided into three sections: Sarco-Cadetia with a creeping rhizome, undivided lip, and smooth seed capsule; Ptero-Cadetia without a creeping rhizome, 3-lobed lip, and smooth seed capsule and Eu-Cadetia which has a seed capsule densely covered in soft hairs. The stem has a single, fleshy leaf and an inflorescence with one or two flowers, mostly white or pale pink at the apex of the stem.

Regarding culture, the data in the table below are averages for the more common species listed herein. For growing data for specific species, literature, such as Reference 1, is recommended",The sixty or so species are all now included inthe genus Dendrobium,Centered on New Guinea and extending from Tropical Asia to Australia and the Pacific Islands. 
Caladenia,R. Brown 1810,"kal-a-DEN-ee-ah (click on the name to hear it spoken)
Tribe: Diurideae
Subtribe: Caladeniinae

Terrestrial plants, rootless or with filamentous roots, and witha globose tuber, solitary leaf and unbranched stem;generally hairy. Inflorescence with one to few, bright to dull-colored, small to large, flowers. Lip usually with a marginal fringe and 2-6 rows of club-shaped calli. Type species:&Caladenia carnea R. Br.

Caladenia is a large genus with many showy and elegant, large-flowered species (flower length up to 30 cm). Caladenias are grown mainly by specialist terrestrial growers. A few species are colony-formers, but most are solitary and propagate only by seed. Being rootless, caladenias depend heavily on their mycorrhiza for water and minerals uptake.

Closely related genera : Cyanicula, Leptoceras. Two main groups of species are cultivated: Fairy Orchids have short perianth segments. The calli on the lip are assumed to mimic anthers and to deceive inexperienced pollen-gathering native bees. Spider Orchids have long to filamentous perianth segments. Pollinator attraction is based on sexual deception of male thynnid wasps.",About 250 species. A full revision of this complex genus is needed.,"Mainly Australia. A few species are known from New Zealand, New Caledonia and Indonesia."
Calanthe,Robert Brown 1821,"ka-LAN-thee (click on the name to hear it spoken)
Tribe: Arethuseae
Subtribe: Bletiinae

Calanthe is a popular, generally winter-blooming genus aptly named from the Greek words kalos (beautiful) and anthe (flower). Apart from its beautiful flowers, the genus is famous because J. Dominy used it to make the first artificial orchid hybrid (Calanthe Dominyi) in the early 1850’s. The genus is allied to Phaius and Gastrorchis. 

There are 2 subgenera with distinctly different growth and flowering habits; Eucalanthe (the evergreen calanthes) and Preptanthe (the deciduous calanthes). Plants belonging to the subgenus Eucalanthe are tropical to cold growing terrestrials consisting of a basal rosette of leaves and without pseudobulbs. Inflorescences are produced from the center of the leaf rosette. This group includes such species as C. triplicata and C. striata from Taiwan to Korea. Japanese growers are breeding their native species to create highly floriferous and beautiful calanthes which can be grown in USDA zone 6b to zone 11 gardens.
Preptanthe species are characterized by prominent pseudobulbs curiously constricted about two-thirds of the way up the pseudobulb. Species in this group are winter-deciduous and inflorescences are produced from near the base of the leafless pseudobulbs.

Evergreen (Eucalanthe) and deciduous (Preptanthe) calanthes do not interbreed and may be separate genera.

Potting: Preptanthe: Separate the individual pseudobulbs after blooming and before soft new growth in the spring. (Two-year old pseudobulbs will wither and rot.) Roots die off during the winter. Use a moisture retentive terrestrial-type potting mix which can include fir bark, sphagnum moss, or peat moss and other organic matter. They also do well with semi-hydroponic culture using Leca type growth media in plastic containers. Do not water the plants until after new growths begin to produce roots to prevent rotting the new growths. Pseudobulbs are extremely brittle and may snap in two during repotting. Broken-off tops can be made to produce new growths by drying them overnight and then lay them horizontally on top of sphagnum moss or other potting media.

Eucalanthe: Cold to cool growing evergreen calanthes perform their best planted outdoors in garden soil in areas USDA zone 6b to zone 11. They will also do well in pots growing in an organic potting media if allowed to get sufficiently cool during winter months. The tropical species should be grown under intermediate to hot conditions year around.",The World Monocot Checklist contains approximately 200 accepted names (9/2007).,"Tropical and subtropical Asia, Africa and Australia to Mexico southward to Colombia and the Caribbean. "
Catasetum,Kunth 1822,"cat-a-SEE-tum (click on the name to hear it spoken)
Tribe: Cymdibieae
Subtribe: Catasetinae

Catasetum is the largest genus of the subtribe and grows in a variety of conditions. Many grow in the warm, moist open canopy of trees but there are a number that are happiest in the ""boot"" of palm trees. The boot of the palm trees is the base of old leaves that have been shed. Some species can be found on rocks, terrestrially and even in sand. Most of the Catasetum species are like Cycnoches in growth pattern. The new growths rapidly develop in a five to six month period, bloom, loose their leaves and are dormant for periods from one to five months depending on the species and the climatic conditions of their habitat. Another feature that Catasetum species share with Cycnoches is that they bear separate male and female flowers with occasional intermediate or hermaphroditic forms. The female flowers of all the many species of Catasetum are very similar in shape. It is almost impossible to determine the species from female flowers. The female flowers are non-resupinate with a galeate or hood-shaped lip that is uppermost. The column inside the lower portion of the lip is short and broad with the stigma located inside the tip of the column. The male flowers of Catasetum are highly variable among the many species. There are at least 12 to 15 different basic shapes ranging from non-resupinate male flowers such as Ctsm. macrocarpum to the resupinate Ctsm cristatum/barbatum group with lips that bear varying numbers and shapes of projections. The inflorescences originate from the base of the pseudobulbs ranging from arched to smoothly pendent. The pseudobulbs are generally fusiform with a variable number of nodes, from which new growths can originate. The early confusion among the varying sexual and floral forms led to the description of several different genera that were united into Catasetum around the middle of the 19th century. Also see Clowesia and Dressleria.
 ",The World Checklist of Monocotyledons recognizes 64 species and 9 natural hybrids (2007).,Central Pacific coast of Mexico to Paraguay and northern Argentina.
Cattleya,Lindl 1824,"CAT-lee-ah (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Laeliinae

Cattleya is a tropical genus of epiphytic and lithophytic plants that produce fairly to exceptionally showy flowers, and by many their species and hybrids are considered THE orchid. There are basically two groups of Cattleyas, the so-called unifoliate and bifoliate. The unifoliate group includes Cattleya labiata, the type species of the genus. Other species in this group include C. mossiae, C. mendellii, C. warscewiczii, C. dowiana, and C. percivaliana. The species in this group produce small to large-sized (up to 8') flowers in colors ranging from yellow to lavender (excluding the color forms, that add a lot of variation); the plants grow fusiform pseudobulbs topped with one fleshy, flattened, elliptic leaf. The bifoliate group, including such species as C. bicolor, C. amethystoglossa, C. elongata, and C. harrisoniana, produces smaller flowers (up to 5' or more, depending on the species), but in larger numbers (up to 40+ on a spike, also depending on species), in colors ranging from green to yellow to brown and pink to lavender; the plants grow tall, cylindric, pencil-like, ringed pseudobulbs that can be up to 5'+ tall in a couple of species - but in most get only to 1' to 2'). The genus was named by John Lindley in honor of William Cattley, a foremost British plant grower of the first half of the 19th Century",The WCSP recognizes around 120 species which includes former Laelia (Brazil) and Sophronitis species. There are numerous natual varieties and natural hybrids in the genus. ,Distribution:
Cattleyopsis,Lindl. 1854,"Cat-lee-opsis (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Laeliinae

Although the name Cattleyopsis means that the type species, Cattleyopsis lindenii, resembles Cattleya, taxonomically, this genus more closely resembles Laelia because of its eight pollinia. Cattleyopsis is closely related to Broughtonia and Laeliopsis and the World Monocot Checklist currently considers Cattleyopsis to be synonymous with Broughtonia. Although not very common in hobby collections, except in Florida and the Caribbean, the flowers of Cattleyopsis are charming and the plant has a compact growth habit. Quite a few intergeneric hybrids have been made. The most commonly known species is Ctps. lindenii.",The WCSP has moved the 3 species of this genus to Broughtonia.,"The Caribbean islands – Cuba, Bahamas"
Caularthron,"Raf., Fl. Tellur. 2:40 1837","kawl-AR-thron (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Laeliinae

Known for many years as Diacrium, it was discovered that Rafinesque had previously given the genus the name Caularthron. Consistent with the rules that govern botanical nomenclature, the oldest validly published name has priority. The genus name is derived from the Greek kaulos, stem and arthron, joint in reference to the leaf bases on the pseudobulbs. The genus is characterized by elongated, cylindrical pseudobulbs of several internodes that, like Schomburgkia, are often filled with ants. Used to make many intergeneric hybrids, Caularthron has a presence in many collections, either as a species or as a lovely pot plant as evidenced by crosses such as Caulaelia (formerly Dialaelia) Snowflake. Plants of Caularthron are usually medium sized and compact, allowing for specimen culture. Most commonly found in collections are Cau. bicornutum and Cau. bilamellatum.","The World Monocot Checklist currently recognizes 4 species: Cau. amazonicum, Cau. bicornutum, Cau. bilamellatum, Cau. kraenzlinianum.","Northern South America, Trinidad, Tobago and along the Gulf Coast of Mesoamerica "
Ceratostylis,Blume 1825,"se-rat-oh-STY-lis (click on the name to hear it spoken)
Tribe: Podochileae
Subtribe: Eriinae

Carl Blume established this genus, of mainly miniature, sympodial species, in 1825. The generic epithet is from the Greek kerato = horn and stylis = style and refers to the fleshy column. There is no designated type species for this genus. The most commonly seen species, in cultivation, is the very attractive Ceratostylis retisquama (hort. Ceratostylis rubra) from the Philippines. Any other species in cultivation from this genus are in specialist collections.",The World Monocot Checklist contains 152 accepted names (9/2007).,"India, throughout South East Asia, New Guinea and the islands of the Pacific Ocean."
Chaubardia,Reichenbach f. 1852,"Shaw-BAR-dee-ah (click on the name to hear it spoken)
Tribe: Maxillarieae
Subtribe: Zygopetalinae

Reichenbach filius named this genus to honor Chaubard, a French botanist active during the nineteenth century. The fan shaped plants of Chaubardia are clumping epiphytes with flowers that emerge from between the leaf sheathes. The plants lack pseudobulbs. The sepals and petals are generally similar and spreading, the lateral sepals are basally adnate to a column foot forming a short mentum and the petals are inserted obliquely into the column. The flowers of Chaubardia have a two part lip; the hypochile with a thick toothed or fimbriate callus and the epichile with a mostly flat surface. The plants do not have a pronounced flowering season.",The World Monocot Checklist currently recognizes 5 species.,"South America, east of the Andes from Surinam to Bolivia in lowland wet forests from sea level to 1,200 meters (4000 feet)."
Chaubardiella,Garay 1969,"Shaw-BAR-dee-el-ah (click on the name to hear it spoken)
Tribe: Maxillarieae
Subtribe: Zygopetalinae

The name Chaubardiella is derived from the Greek iella meaning similar to and Chaubardia in reference to the similarity of these plants to those of the genus Chaubardia. The fan shaped plants of Chaubardiella are clumping epiphytes with flowers that emerge from between the leaf sheathes. The plants lack pseudobulbs. The sepals and petals are generally similar and spreading, the lateral sepals are basally adnate to a column foot forming a short mentum and the petals are inserted obliquely into the column. 


The flowers of Chaubardiella have a concave lip with a basal, fleshy, plate like callus. Flowering occurs in succession throughout most of the year.",The World Monocot Checklist currently recognizes 8 species. (6/2009),"Central and South America distributed along the slopes of the Andes from Surinam to Peru and northward into Costa Rica in very wet cloud forest at elevations from 500 to 1,200 meters (600-4000 feet)."
