name,discovery,description,species,distribution
Dactylorhiza,Necker 1937,"dak-til-o-RISE-ah (click on the name to hear it spoken)
Tribe: Arethuseae
Subtribe: Bletiinae

Terrestrial plants, with two palmate tuberoids and generally cauline leaves. Unbranched stem, 1--100 cm high. Inflorescence cylindrical, densely flowered. Flowers purple, plin, yellow and more rarely brown or white. Lip entire or three-lobed, with a spur, lateral sepals generally spread. The name Dactylorhiza derives from daktylos = finger and rhiza = root, in reference to the knotted, finger like roots.

Because of their spectacular colorful inflorescences and their relative ease of cultivation, Dactylorhizas are the most widely grown European orchids. Artificial ""improved"" hybrids can even be found in specialized nurseries. They should not be confused with Orchis, and are easily distinguished by the round tuberoids of this genus.

Dactylorhizas grow in marshes, grasslands or woodlands. Pollinators are insects.

Type species: Dactylorhiza umbrosa (Kar. & Kir.) Neveski

Warning: the plants should never be collected in the wild, but only purchased from authorized dealers which can certify culture from seeds.", ,"This is another genus in which natural hybridization occurs with relative easy, leading to great confusion in the taxonomy of the genus. At the present time, The World Checklist of Monocotyledons recognizes 45 species and numerous named botanical varieties as well as 81 natural hybrids."
Den. Sec. Amblyanthus,Schltr 1905,"am-BLY-an-thus (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Section Amblyanthus was established by Schlechter in 1905 with species recorded from New Guinea and the Solomon Islands. Schlechter expanded the Section to nine species from New Guinea in 1912. One species from Borneo has also been described, D. microglaphis Rchb.f. Amblyanthus is considered to be a poorly known section, but most closely related to Section Breviflores. Amblyanthus has a short or abbreviated inflorescence and has prominent dry, thin, membranous basal sheaths and floral bracts, which are characterized as having a ""scale-like"" external texture of the inflorescence. The species show very little variation within the section and are fairly uniform in their habit. Most of the species are found in montane, mist forests and grow down low on tree trunks in low to moderate elevations. The stems start out erect and become pendulous with length. The papery leaves appear in pairs mostly on the apical half of the stem. The flowers are lateral with 2 to 12 flowers on an inflorescence, depending on species. The fleshy flowers are generally slow in maturing and then last only a few days up to two weeks. Most flowers are yellowish-brown on the outside and may be covered in scales or short, black hairs on outside of sepals. Flowers are generally white on the inside with a yellow lip; they may have orange to red streaks in the lip. The lip is usually 3-lobed with a distinctive fleshy, flange-like basal appendage. Flowers range from approximately .5 to one inch across and some species have flowers which do not open well. Although this section is not popularly grown, the most commonly known are D. squamiferum, D. melanostictum, and D. microglaphys. Species in this section should be given regular watering all year long with slightly less water in the winter. Provide intermediate to warm conditions with medium to moderately bright light.", ,"Approximately 12 - 14 species: D. melanostictum, D. kempterianum (possibly synonymous with D. squamiferum), D. bismarckiense, D. microglaphys, D. canthomeson, D. quadriferum, D. cavipes, D. squamiferum, D. furfuriferum, D. zippelii and D. gibiense."
Den. Sec. Aporum,(Blume) Lindl.,"a-POR-um (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Initially, this group of plants was established as a genus by Carl Blume in 1825 while Dr. John Lindley classified them as a section of the genus Dendrobium. Recent DNA studies suggest that Blume’s generic concept may be correct. The flowers are generally small as are the plants. The laterally flattened leaves are a distinguishing feature of this group. Members of this group are usually only seen in specialist collections although Den. anceps is often grown for its foliage in warm climates.",Approximately 50 species.,"Throughout South East Asia, with two centres of distribution, one is in Myanmar and the other in Borneo. "
Den. Sec. Australorchis,(Brieger) Dockrill,"au-stral-OR-kiss (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Dendrobium Section Australorchis contains only four species, all from Eastern and North-Eastern Australia. They are epiphytic, or occasionally lithophytic, occurring from low to moderate altitudes. They grow on trees and rocks in bright light, fluctuating humidity with good air movement. Habitats include rainforest, open forest, woodland, coastal scrubs and rocky areas. Their climate varies from tropical to subtropical. In the tropics, the majority of rain falls during the Australian summer wet season from December to March with the remaining months being much drier and having sporadic or intermittent rain. The plants are densely matted with short, thick and hard pseudobulbs. Rhizomes are very short. The plants have tough, flat, one to three leaves that are longer than wide with unusual notched tips. Few to many star-shaped or cupped flowers are carried on long inflorescences. The flowers have a prominent mentum and a three-lobed lip. The small flowers are 0.7 to 1.5 cm wide and last only several days. Flowers may be white, yellow, or orange colored and may be scented. Flowering is usually in the Australian Autumn and Spring. The Section is most closely related to Dendrocoryne. Brieger in 1981 considered Australorchis to be a separate genus from Dendrobium.","4 species: D. monophyllum (type species), D. carrii, D. schneiderae, D. eungellensis (6/2007)","Queensland and Northern New South Wales, Australia "
Den. Sec. Bolbidium,Lindl,"bol-bid-EE-um (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

This section was proposed by Dr. John Lindley. Members of this section are small-growing plants with clustered pseudobulbs consisting of only a couple of internodes. The pseudobulbs are topped by 2 leathery leaves without leaf sheaths appearing opposite of each other at the apex.. Flowers, produced from a group of bracts between the leaves are short-lived and quite attractive and usually produced in large numbers. Due to the ephemeral nature of the flowers, species from this section are only seen in specialist collections.","Approximately 5-7 species: Den. hymenanthum, Den. micholitzii, Den. procumbens, Den. pachyphyllum, Den. striatellum,Den. ustulatum",Throughout South East Asia. The majority of species are found in Peninsular Malaysia .
Den. Sec. Breviflores,Hooker f.,"brev-i-FLOR-es (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Dendrobium Section Breviflores is a small Section of up to twelve epiphytic species which grow in low to medium altitudes. The species in this section are from India to Borneo to Java with the center of distribution in Southeast Asia, which has most of the defined species. Circumscription and validity of this section are not clearly defined, with some taxonomists placing species with a fringed lip into a ""Section Stuposa"". In general, the stems are fairly slender with the upper part sometimes swollen. Stem length is normally less than 60 cm with narrow leaves along the stem length, which are deciduous in one to three years. Inflorescences are along the stems in short racemes of 3 to 10 small flowers which may be pink or yellow. The species in this section are distinguished by broad, saccate lips which are three-lobed, short, described as ""urn"" shaped and sometimes ciliate along the front margin. The species are found in climates with pronounced dry periods and very wet, warm periods.","approx. 10 - 12 species; D. aduncum D. hercoglossum D. dantaniense (syn. alterum), D.linguella, D. bicameratum, D. sphegidoglossum (syn. spegidoglossum)*, D.stuposum, D. praecinctum, D.stupposum, D. umbonatum* Considered synonymous by Kew, but considered as separate species by Seidenfaden.",India to Borneo and Java
Den. Sec. Calcarifera,J. J. Smith,"kal-kar-IF-er-a (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Dendrobium Section Calcarifera was originally described by J. J. Smith in 1908 and reintroduced by J. B. Comber in 1983. Until recently, this section was largely included in section Pedilonum. Most of the mainland Asian species previously placed in the latter section are now placed in S. Calcarifera. Species in this section are medium sized epiphytes which occur from low to moderate elevations requiring warm to intermediate conditions in areas with year around rainfall. Characteristically, species in this section have fleshy stems or pseudobulbs, with leaves occurring in two ranks along the stems and are deciduous after a year or more. The flowers have a long, curved mentum and a more membranous lip that is moderately broad with a claw that narrows sharply at the base. The lip usually has some form of projection on the claw, but no keels or warts on the blade of the lip. The lip is more or less continuous with the base of the column foot which forms a short spur. The flowers occur singly or in short, pendulous inflorescences hanging laterally from the stems of both leafy and leafless stems.",approx. 50 – 60 species,"Asia, Borneo, Java, New Guinea, Philippines, with Borneo apparently the Center of distribution with 21 species. "
Den. Sec. Callista,Schlechter,"ka-LISS-ta (click on the name to hear it spoken)
Tribe: Dendrobieae
Subtribe: Dendrobiinae

Juan Loureiro first proposed this sectional epithet as a generic epithet in 1790. Schlechter transferred the epithet to sectional status in the early 1900s. The sectional epithet is from the Greek kallistos = very beautiful. Members of this section are some of the most desirable of all Dendrobium species. The flowers are brightly coloured and produced in good numbers, lasting in perfection for about one week. Commonly seen species are Dendrobium densiflorum, D. farmeri and D. thyrsiflorum.
 ",Approximately 10 species.,"India, Myanmar, Thailand, Indochina and Peninsular Malaysia. "
Den. Sec. Calyptrochilus,Schlechter,"ka-LIP-tro-KI-lus (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

Derivation: The name means veiled lip; i.e., the lip plate covers the column and pollinium.

The species in this section are mostly from New Guinea and occur from low to high altitudes in areas of high year-round rainfall, such as along swampy rivers or cloud forests . The section is closely related to Pedilonum, Calcarifera and Oxyglossum. Species may be separated from these other sections by the apex of the lip which is incurved, making it look boat-shaped, and is fimbriate. Leaves are generally deciduous after one or two years. Species in this section produce clusters of brightly colored flowers from nodes along the mostly pendulous, leafless canes.

Species in this Section include: Den. lawesii, Den. mohlianum, Den. subclausum, Den. glomeratum, Den. codonosepalum, Den. erosum, Den. vannouhuysii, Den. cochleatum, Den. conicum, Den. convexipes, Den. trichostomum, Den. uliginosum, Den. wentianum

In respect to culture: This Section represents a large group of species with a wide range of conditions. The data in the table below are averages for the more common species listed herein. For growing data for specific species, literature, such as Reference 2, is recommended.",Approximately 40 species.,"Mostly New Guinea; also species are found in Solomon Islands, and one species, Den. erosum, is distributed from from Vanuatu to Thailand. "
Den. Sec. Conostalix,"(Kraenzl.) Brieger, Schlechter 1981","koh-noh -STA-licks (click on the name to hear it spoken)
Tribe: Epidendreae
Subtribe: Dendrobiinae

A small section consisting of mostly terrestrial species at low to moderate elevations, such as low montane forests and requires warm temperatures, uniform moisture and bright to strong light. The stems are usually long and slender with narrow leaves and fimbriate leaf sheaths which enclose the stems. The flowers are usually non-resupinate and are produced singly or in pairs. The lip is tri-lobed.

Regarding culture: The data in the table below are averages for the more common species listed herein. For growing data for specific species, literature, such as Reference 2, is recommended.

Derivation: The name means conical staff, meaning the spur is straight and conic shaped."," Approx. 10 species, including: D.lobbii, D. pachyglossum, D. villosulum, D. trullatum, D. beamanianum, D. corrugatilobum, D. gramineum, D. pinifolium

The World Monocot Checklist no longer recognizes Conostalix as a separate genus and transferred its 9 species to Dendrobium Sec. Conostalix","Myanmar (Burma) to New guinea and south to Australia. The center of distribution appears to be Borneo with 8 species. 
 "
